年,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2000,5683,1476,1416,2365,1189,1244,2127,2986,2005,2025,6938,5926,12064,8490,2476,1121,1181,829,888,2215,2108,3767,7043,1857,1343,2644,8805,5551,1443,1070,613,762,1951,2879,1528,824,1023,1493,814,5016,877,1517,1859,1221,1170,1786,1318
2001,5680,1473,1413,2369,1183,1241,2124,2990,2011,2029,6977,5970,12165,8575,2471,1120,1182,830,890,2222,2111,3780,7091,1862,1354,2649,8821,5572,1442,1065,613,760,1954,2880,1523,822,1022,1490,812,5030,876,1512,1860,1220,1168,1782,1327
2002,5672,1467,1407,2369,1175,1236,2118,2987,2012,2030,7000,5998,12271,8636,2462,1118,1180,828,889,2215,2110,3784,7131,1863,1361,2648,8821,5580,1437,1059,612,756,1956,2878,1517,820,1020,1485,810,5039,874,1505,1857,1219,1165,1776,1336
2003,5663,1459,1401,2369,1165,1230,2110,2985,2014,2030,7028,6030,12388,8702,2455,1116,1179,827,888,2210,2110,3790,7170,1864,1368,2650,8824,5589,1434,1052,611,752,1958,2879,1510,818,1018,1481,806,5045,872,1498,1852,1217,1162,1770,1345
2004,5650,1448,1395,2366,1156,1224,2102,2982,2016,2027,7046,6047,12482,8753,2445,1115,1178,824,886,2206,2108,3791,7209,1867,1375,2650,8825,5592,1428,1045,610,747,1959,2879,1502,814,1016,1475,802,5050,870,1490,1848,1214,1159,1763,1353
2005,5628,1437,1385,2360,1146,1216,2091,2975,2017,2024,7054,6056,12577,8792,2431,1112,1174,822,885,2196,2107,3792,7255,1867,1380,2648,8817,5591,1421,1036,607,742,1957,2877,1493,810,1012,1468,796,5050,866,1479,1842,1210,1153,1753,1362
2006,5605,1424,1375,2358,1134,1207,2080,2974,2016,2022,7079,6084,12704,8846,2420,1110,1173,820,880,2189,2105,3795,7307,1872,1390,2646,8828,5592,1417,1029,604,737,1956,2875,1484,806,1009,1460,790,5057,863,1467,1838,1207,1150,1744,1369
2007,5579,1409,1364,2354,1121,1198,2067,2973,2016,2020,7106,6119,12848,8912,2408,1107,1173,817,877,2182,2104,3796,7357,1873,1398,2643,8839,5593,1413,1021,601,733,1956,2874,1476,800,1006,1453,783,5061,860,1455,1832,1206,1146,1733,1374
2008,5548,1395,1352,2349,1109,1188,2054,2971,2015,2017,7136,6153,12973,8965,2396,1103,1172,814,871,2173,2100,3793,7399,1871,1405,2640,8847,5592,1407,1014,596,727,1953,2870,1466,795,1003,1445,775,5062,856,1443,1826,1204,1141,1721,1378
2009,5524,1383,1340,2348,1097,1178,2041,2970,2011,2014,7161,6180,13048,9006,2385,1098,1171,810,867,2162,2091,3783,7411,1864,1409,2637,8855,5591,1404,1008,592,721,1949,2864,1459,790,999,1438,769,5064,853,1434,1821,1200,1138,1712,1385
2010,5506,1373,1330,2348,1086,1169,2029,2970,2008,2008,7195,6216,13159,9048,2374,1093,1170,806,863,2152,2081,3765,7411,1855,1411,2636,8865,5588,1401,1002,589,717,1945,2861,1451,785,996,1431,764,5072,850,1427,1817,1197,1135,1706,1393
2011,5488,1363,1315,2326,1075,1162,1988,2960,2000,2001,7209,6217,13198,9060,2364,1088,1167,803,857,2142,2071,3752,7418,1847,1413,2633,8863,5584,1395,995,586,713,1941,2858,1444,780,992,1424,758,5081,847,1418,1813,1192,1130,1697,1402
2012,5465,1350,1306,2329,1063,1153,1957,2947,1992,1994,7216,6200,13234,9070,2350,1083,1164,800,852,2132,2062,3739,7431,1841,1414,2628,8861,5575,1388,988,583,708,1937,2855,1434,775,989,1415,751,5089,845,1408,1807,1186,1125,1687,1411
2013,5438,1337,1299,2333,1050,1144,1940,2937,1986,1986,7228,6201,13307,9084,2336,1077,1160,796,847,2122,2053,3730,7449,1833,1415,2622,8856,5565,1381,980,580,704,1932,2850,1425,769,985,1406,743,5096,841,1397,1801,1180,1119,1675,1419
2014,5410,1323,1290,2335,1037,1134,1927,2927,1980,1979,7247,6209,13399,9103,2320,1072,1157,791,841,2110,2043,3715,7464,1826,1414,2616,8845,5550,1373,972,577,699,1926,2846,1415,763,980,1396,736,5099,837,1387,1795,1173,1112,1662,1426
2015,5382,1308,1280,2334,1023,1124,1914,2917,1974,1973,7267,6223,13515,9126,2304,1066,1154,787,835,2099,2032,3700,7483,1816,1413,2610,8839,5535,1364,964,573,694,1922,2844,1405,756,976,1385,728,5102,833,1377,1786,1166,1104,1648,1434
